Episode,RobotID,Time,X,Z,FollowerCount
0,RobotControl(Clone)_-17146,104.99,6.64,11.44,0
0,RobotControl(Clone)_-17146,105.49,6.57,12.27,0
0,RobotControl(Clone)_-17146,105.99,6.58,13.11,0
0,RobotControl(Clone)_-17146,106.49,6.63,13.98,0
0,RobotControl(Clone)_-17146,106.99,6.63,13.98,0
0,RobotControl(Clone)_-17146,107.49,6.66,14.51,0
0,RobotControl(Clone)_-17146,107.99,6.80,12.51,0
0,RobotControl(Clone)_-17146,108.49,6.97,10.95,0
0,RobotControl(Clone)_-17146,108.99,6.97,10.95,0
0,RobotControl(Clone)_-17146,109.49,6.95,11.40,0
0,RobotControl(Clone)_-17146,109.99,6.97,11.74,0
0,RobotControl(Clone)_-17146,110.49,7.08,12.01,0
0,RobotControl(Clone)_-17146,110.99,7.08,12.01,0
0,RobotControl(Clone)_-17146,111.49,7.09,12.37,0
0,RobotControl(Clone)_-17146,111.99,7.01,12.89,0
0,RobotControl(Clone)_-17146,112.49,6.96,13.39,0
0,RobotControl(Clone)_-17146,112.99,6.96,13.39,0
0,RobotControl(Clone)_-17146,113.49,6.76,14.04,0
0,RobotControl(Clone)_-17146,113.99,6.68,14.02,0
0,RobotControl(Clone)_-17146,114.49,6.63,14.44,0
0,RobotControl(Clone)_-17146,114.99,6.63,14.44,0
0,RobotControl(Clone)_-17146,115.49,6.93,10.45,0
0,RobotControl(Clone)_-17146,115.99,6.68,11.10,0
0,RobotControl(Clone)_-17146,116.49,6.54,11.74,0
0,RobotControl(Clone)_-17146,116.99,6.54,11.74,0
0,RobotControl(Clone)_-17146,117.49,6.36,12.40,0
0,RobotControl(Clone)_-17146,117.99,6.17,12.97,0
0,RobotControl(Clone)_-17146,118.49,6.03,13.68,0
0,RobotControl(Clone)_-17146,118.99,6.03,13.68,0
0,RobotControl(Clone)_-17146,119.49,5.90,14.47,0
0,RobotControl(Clone)_-17146,119.99,6.28,12.50,0
0,RobotControl(Clone)_-17146,120.49,6.47,11.54,0
0,RobotControl(Clone)_-17146,120.99,6.47,11.54,0
0,RobotControl(Clone)_-17146,121.49,6.25,12.57,0
0,RobotControl(Clone)_-17146,121.99,6.07,13.55,0
0,RobotControl(Clone)_-17146,122.49,5.90,14.50,0
0,RobotControl(Clone)_-17146,122.99,5.90,14.50,0
0,RobotControl(Clone)_-17146,123.49,6.64,10.65,0
0,RobotControl(Clone)_-17146,123.99,6.44,11.69,0
0,RobotControl(Clone)_-17146,124.49,6.24,12.65,0
0,RobotControl(Clone)_-17146,124.99,6.24,12.65,0
0,RobotControl(Clone)_-17146,125.49,6.06,13.54,0
0,RobotControl(Clone)_-17146,125.99,5.93,14.32,0
0,RobotControl(Clone)_-17146,126.49,5.93,14.32,0
0,RobotControl(Clone)_-17146,126.99,5.93,14.32,0
0,RobotControl(Clone)_-17146,127.49,7.44,10.80,0
0,RobotControl(Clone)_-17146,127.99,12.98,8.81,0
0,RobotControl(Clone)_-17146,128.49,16.76,9.27,0
0,RobotControl(Clone)_-17146,128.99,19.26,14.68,0
0,RobotControl(Clone)_-17146,129.49,20.85,17.18,0
0,RobotControl(Clone)_-17146,129.99,22.82,16.97,0
0,RobotControl(Clone)_-17146,130.49,26.74,16.23,0
0,RobotControl(Clone)_-17146,130.99,34.76,15.50,0
0,RobotControl(Clone)_-17146,131.49,36.92,16.75,0
0,RobotControl(Clone)_-17146,131.99,36.55,18.71,0
0,RobotControl(Clone)_-17146,132.49,33.00,24.90,0
0,RobotControl(Clone)_-17146,132.99,31.44,26.15,0
0,RobotControl(Clone)_-17146,133.49,31.21,30.06,0
0,RobotControl(Clone)_-17146,133.99,26.85,33.04,1
0,RobotControl(Clone)_-17146,134.49,25.23,33.18,1
0,RobotControl(Clone)_-17146,134.99,26.84,33.47,1
0,RobotControl(Clone)_-17146,135.49,33.97,34.31,1
0,RobotControl(Clone)_-17146,135.99,35.63,34.40,1
0,RobotControl(Clone)_-17146,136.49,34.53,35.96,1
0,RobotControl(Clone)_-17146,136.99,34.49,37.63,1
0,RobotControl(Clone)_-17146,137.49,34.92,40.93,1
0,RobotControl(Clone)_-17146,137.99,35.17,42.58,1
0,RobotControl(Clone)_-17146,138.49,35.50,50.05,1
0,RobotControl(Clone)_-17146,138.99,35.49,49.83,1
0,RobotControl(Clone)_-17146,139.49,35.55,49.75,1
0,RobotControl(Clone)_-17146,139.99,35.61,51.43,1
0,RobotControl(Clone)_-17146,140.49,35.70,54.77,1
0,RobotControl(Clone)_-17146,140.99,35.74,56.44,1
0,RobotControl(Clone)_-17146,141.49,35.82,59.77,1
0,RobotControl(Clone)_-17146,141.99,35.86,61.44,0
0,RobotControl(Clone)_-17146,142.49,34.96,62.64,0
0,RobotControl(Clone)_-17146,142.99,34.28,63.83,0
0,RobotControl(Clone)_-17146,143.49,33.68,65.02,0
0,RobotControl(Clone)_-17146,143.99,33.67,65.02,0
0,RobotControl(Clone)_-17146,144.49,32.52,63.38,0
0,RobotControl(Clone)_-17146,144.99,31.36,61.75,0
0,RobotControl(Clone)_-17146,145.49,29.06,58.48,0
0,RobotControl(Clone)_-17146,145.99,27.91,56.84,0
0,RobotControl(Clone)_-17146,146.49,25.61,53.57,0
0,RobotControl(Clone)_-17146,146.99,24.46,51.93,0
0,RobotControl(Clone)_-17146,147.49,22.16,48.66,0
0,RobotControl(Clone)_-17146,147.99,22.04,41.41,0
0,RobotControl(Clone)_-17146,148.49,22.21,39.26,0
0,RobotControl(Clone)_-17146,149.00,20.45,38.30,0
0,RobotControl(Clone)_-17146,149.50,16.95,36.37,0
0,RobotControl(Clone)_-17146,150.00,15.20,35.40,0
